epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9558,2.66039,3.96882,1.60501,0.01449,0.60949,0.11594,0.05213,1.47163,3.86058,1.04367,0.000324786,0.000324786,0.000324786
2,40.7014,1.56949,2.03784,1.07725,0.0206,0.80036,0.46517,0.2607,1.3287,3.29348,1.04603,0.000653776,0.000653776,0.000653776
3,61.0868,1.43075,1.60447,1.04251,0.75924,0.52814,0.69698,0.43439,1.25432,2.21101,1.03451,0.000978366,0.000978366,0.000978366
4,80.826,1.38834,1.38629,1.02589,0.80495,0.75163,0.82451,0.45653,1.40198,1.45803,1.04966,0.0009802,0.0009802,0.0009802
5,102.106,1.3213,1.2344,1.00381,0.79708,0.76518,0.84415,0.47203,1.40304,1.40621,1.05752,0.0009736,0.0009736,0.0009736
6,121.974,1.35689,1.1947,1.01699,0.86806,0.83096,0.91901,0.59554,1.13383,1.08526,0.97287,0.000967,0.000967,0.000967
7,141.605,1.27729,1.08516,0.99391,0.87663,0.84329,0.91085,0.48556,1.39493,1.08924,1.05091,0.0009604,0.0009604,0.0009604
8,161.838,1.2404,1.02866,0.98961,0.88964,0.87756,0.93276,0.49893,1.51047,0.95619,1.10323,0.0009538,0.0009538,0.0009538
9,181.405,1.25288,0.96998,0.98532,0.91853,0.88271,0.94996,0.52605,1.38543,0.95015,1.07892,0.0009472,0.0009472,0.0009472
10,200.92,1.18751,0.92706,0.97055,0.92745,0.88052,0.94279,0.52897,1.39081,0.86266,1.06491,0.0009406,0.0009406,0.0009406
11,219.882,1.18276,0.88524,0.96751,0.93557,0.88938,0.95221,0.54025,1.37505,0.83322,1.05109,0.000934,0.000934,0.000934
12,240.257,1.19709,0.86651,0.97614,0.9292,0.89076,0.95595,0.63094,1.10924,0.82652,0.9708,0.0009274,0.0009274,0.0009274
13,260.497,1.16807,0.83444,0.96485,0.95101,0.91677,0.96979,0.64772,1.10196,0.75684,0.97607,0.0009208,0.0009208,0.0009208
14,280.528,1.15941,0.84333,0.9638,0.93875,0.91413,0.96527,0.67737,1.0026,0.66806,0.9515,0.0009142,0.0009142,0.0009142
15,301.529,1.14328,0.79216,0.95873,0.89236,0.8816,0.9352,0.43914,1.80106,0.86216,1.23977,0.0009076,0.0009076,0.0009076
16,321.555,1.13444,0.77467,0.95539,0.91876,0.91919,0.96145,0.55543,1.39572,0.75746,1.05833,0.000901,0.000901,0.000901
17,340.597,1.12891,0.76459,0.95191,0.93699,0.90239,0.95193,0.49949,1.52629,0.75124,1.08959,0.0008944,0.0008944,0.0008944
18,359.694,1.09582,0.74142,0.94668,0.94508,0.90619,0.96733,0.64598,1.09318,0.65359,0.96841,0.0008878,0.0008878,0.0008878
19,380.663,1.16822,0.75692,0.96358,0.96376,0.93273,0.97879,0.7198,0.91695,0.59915,0.92854,0.0008812,0.0008812,0.0008812
20,400.451,1.0828,0.70295,0.93637,0.93032,0.91451,0.96488,0.57487,1.31947,0.66662,1.03413,0.0008746,0.0008746,0.0008746
21,419.453,1.08075,0.69715,0.94043,0.97125,0.93046,0.98085,0.67447,1.10678,0.5872,0.96664,0.000868,0.000868,0.000868
22,438.626,1.09873,0.70613,0.94832,0.94983,0.92405,0.96869,0.66116,1.09899,0.61722,0.96666,0.0008614,0.0008614,0.0008614
23,459.136,1.10476,0.69039,0.94997,0.96806,0.92808,0.97563,0.5794,1.37972,0.64071,1.03849,0.0008548,0.0008548,0.0008548
24,478.261,1.09346,0.68795,0.93981,0.95797,0.93015,0.97896,0.69674,0.99615,0.57318,0.94506,0.0008482,0.0008482,0.0008482
25,497.2,1.10918,0.684,0.9489,0.95171,0.92784,0.96762,0.55659,1.39494,0.6355,1.05,0.0008416,0.0008416,0.0008416
26,516.525,1.08376,0.66978,0.94185,0.9663,0.9375,0.97788,0.71362,0.92249,0.54837,0.92746,0.000835,0.000835,0.000835
27,537.003,1.05238,0.65914,0.93524,0.9093,0.85325,0.8999,0.33087,2.16976,0.89074,1.33443,0.0008284,0.0008284,0.0008284
28,556.131,1.08211,0.67111,0.946,0.96127,0.93944,0.97444,0.5883,1.29213,0.62537,1.02383,0.0008218,0.0008218,0.0008218
29,575.311,1.07814,0.6617,0.94074,0.96281,0.93576,0.97447,0.61358,1.19439,0.57803,0.98767,0.0008152,0.0008152,0.0008152
30,595.016,1.01765,0.64353,0.93006,0.97447,0.9522,0.98484,0.74296,0.88131,0.50731,0.91676,0.0008086,0.0008086,0.0008086
31,615.908,1.03236,0.64339,0.93034,0.948,0.93111,0.97739,0.65989,1.11758,0.5939,0.96677,0.000802,0.000802,0.000802
32,635.211,1.02112,0.62829,0.92902,0.9574,0.92453,0.96726,0.52621,1.52327,0.63478,1.09024,0.0007954,0.0007954,0.0007954
33,654.118,1.06119,0.63598,0.93146,0.967,0.9408,0.98396,0.60163,1.33787,0.59601,1.02564,0.0007888,0.0007888,0.0007888
34,674.731,1.04327,0.6304,0.93023,0.9779,0.94059,0.98091,0.7168,0.91956,0.50694,0.92498,0.0007822,0.0007822,0.0007822
35,694.436,1.02922,0.62205,0.93229,0.96649,0.95566,0.98367,0.74633,0.84113,0.48223,0.90739,0.0007756,0.0007756,0.0007756
36,714.104,0.99704,0.61423,0.92367,0.97322,0.92281,0.97549,0.67067,1.05714,0.54845,0.96426,0.000769,0.000769,0.000769
37,732.96,1.02955,0.62071,0.93139,0.97252,0.94009,0.98425,0.62911,1.25143,0.56496,1.00666,0.0007624,0.0007624,0.0007624
38,753.384,1.04952,0.61064,0.93799,0.96962,0.94314,0.98369,0.64223,1.15082,0.53099,0.98265,0.0007558,0.0007558,0.0007558
39,772.439,0.99682,0.59509,0.92453,0.97778,0.95321,0.98776,0.65893,1.17762,0.52047,0.97833,0.0007492,0.0007492,0.0007492
40,791.299,1.00429,0.58861,0.91876,0.96093,0.94599,0.97429,0.54676,1.47822,0.59652,1.07343,0.0007426,0.0007426,0.0007426
41,810.091,1.03291,0.59668,0.93084,0.94424,0.95008,0.98061,0.63751,1.20673,0.58535,0.99162,0.000736,0.000736,0.000736
42,830.711,0.95641,0.57423,0.91891,0.96933,0.95545,0.98453,0.75785,0.82878,0.45259,0.90365,0.0007294,0.0007294,0.0007294
