epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6822,2.11514,10.1863,0.00862,0.2553,0.35223,0.24682,0.14845,1.44651,3.89994,0.00512,0.000219269,0.000219269,0.000219269
2,66.4692,1.25582,2.12886,0.00455,0.78667,0.7479,0.83088,0.52994,1.38953,1.25092,0.00474,0.000440987,0.000440987,0.000440987
3,91.2403,1.16634,1.02586,0.00437,0.83306,0.78792,0.8816,0.45969,1.75086,0.90755,0.00584,0.000661826,0.000661826,0.000661826
4,115.52,1.09956,0.74573,0.004,0.85908,0.8035,0.87554,0.49803,1.60187,0.74183,0.00591,0.000881785,0.000881785,0.000881785
5,139.549,1.14901,0.69584,0.00417,0.87842,0.83636,0.91068,0.47003,1.77633,0.68261,0.00593,0.000992096,0.000992096,0.000992096
6,163.593,1.05245,0.6097,0.00385,0.91955,0.86945,0.93039,0.67121,1.07868,0.50679,0.00372,0.00099012,0.00099012,0.00099012
7,187.672,1.03139,0.54015,0.0038,0.88819,0.87372,0.92181,0.67338,1.03675,0.52318,0.00361,0.000988144,0.000988144,0.000988144
8,211.72,1.00455,0.51213,0.00364,0.84174,0.86502,0.92127,0.60733,1.2892,0.56633,0.00464,0.000986168,0.000986168,0.000986168
9,235.753,1.00644,0.51113,0.00369,0.91323,0.87946,0.94352,0.65318,1.17669,0.47286,0.00423,0.000984192,0.000984192,0.000984192
10,259.705,1.00075,0.47484,0.00364,0.86383,0.86404,0.91975,0.59711,1.33847,0.54978,0.00485,0.000982216,0.000982216,0.000982216
11,283.658,1.01088,0.49543,0.00372,0.85546,0.8925,0.9329,0.62938,1.18809,0.52122,0.0041,0.00098024,0.00098024,0.00098024
12,307.504,0.96246,0.48203,0.00355,0.88637,0.87299,0.93676,0.69113,1.01413,0.51619,0.00354,0.000978264,0.000978264,0.000978264
13,331.868,1.03157,0.47966,0.00379,0.90747,0.86376,0.93674,0.61847,1.27794,0.47915,0.00451,0.000976288,0.000976288,0.000976288
14,355.98,0.92974,0.42071,0.00339,0.94187,0.8997,0.95626,0.68366,1.09843,0.39261,0.00371,0.000974312,0.000974312,0.000974312
15,379.823,0.91829,0.43821,0.00337,0.8233,0.84299,0.88081,0.38806,2.13844,0.68102,0.00842,0.000972336,0.000972336,0.000972336
16,403.748,0.87123,0.42897,0.00316,0.9351,0.89857,0.95728,0.63066,1.28236,0.43515,0.0043,0.00097036,0.00097036,0.00097036
17,427.76,0.88865,0.42444,0.00323,0.91494,0.87447,0.9546,0.67844,1.08206,0.47279,0.0037,0.000968384,0.000968384,0.000968384
18,451.826,0.86313,0.41266,0.00316,0.88801,0.88493,0.94964,0.66358,1.15576,0.47919,0.00408,0.000966408,0.000966408,0.000966408
19,475.644,0.93039,0.39967,0.00338,0.93652,0.88046,0.95717,0.72381,0.95432,0.39856,0.00335,0.000964432,0.000964432,0.000964432
20,499.651,0.94786,0.41437,0.00341,0.91137,0.88824,0.94616,0.6602,1.1395,0.43928,0.00406,0.000962456,0.000962456,0.000962456
21,523.574,0.85557,0.37659,0.00309,0.93691,0.92168,0.96645,0.67018,1.17911,0.38054,0.00396,0.00096048,0.00096048,0.00096048
22,547.563,0.84354,0.38593,0.0031,0.93974,0.89771,0.95509,0.64832,1.24245,0.41579,0.00417,0.000958504,0.000958504,0.000958504
23,571.498,0.85704,0.39909,0.00312,0.93461,0.90611,0.96162,0.65585,1.24985,0.41387,0.00419,0.000956528,0.000956528,0.000956528
24,595.411,0.90396,0.39867,0.0033,0.9285,0.8728,0.95547,0.72829,0.92774,0.39939,0.0032,0.000954552,0.000954552,0.000954552
25,619.681,0.84691,0.3664,0.00309,0.93282,0.89035,0.93431,0.58271,1.4115,0.47558,0.00516,0.000952576,0.000952576,0.000952576
26,643.726,0.84484,0.37784,0.00306,0.94685,0.88892,0.96009,0.71351,0.99744,0.38697,0.00353,0.0009506,0.0009506,0.0009506
27,667.923,0.86084,0.38203,0.00315,0.87024,0.89255,0.94088,0.73794,0.8682,0.44783,0.00305,0.000948623,0.000948623,0.000948623
28,692.058,0.8286,0.3668,0.00299,0.93631,0.90149,0.95329,0.70914,0.999,0.39069,0.00347,0.000946647,0.000946647,0.000946647
29,715.902,0.83391,0.38476,0.00302,0.93841,0.89048,0.95256,0.72688,0.94575,0.38997,0.00327,0.000944671,0.000944671,0.000944671
30,739.84,0.83901,0.37155,0.00306,0.95705,0.89619,0.961,0.65428,1.23831,0.4087,0.00416,0.000942695,0.000942695,0.000942695
31,763.587,0.8365,0.37302,0.00301,0.94098,0.88852,0.95664,0.73238,0.9393,0.37425,0.00324,0.000940719,0.000940719,0.000940719
32,787.562,0.84464,0.372,0.00306,0.9551,0.91747,0.96476,0.74211,0.90568,0.33722,0.00313,0.000938743,0.000938743,0.000938743
33,811.551,0.85859,0.37452,0.00313,0.94272,0.89935,0.9546,0.68254,1.0917,0.3906,0.00387,0.000936767,0.000936767,0.000936767
34,835.519,0.81159,0.34735,0.00294,0.9233,0.91901,0.95829,0.73312,0.92145,0.37139,0.00317,0.000934791,0.000934791,0.000934791
35,859.501,0.8378,0.36206,0.00306,0.92074,0.87326,0.96488,0.66786,1.16875,0.41384,0.00393,0.000932815,0.000932815,0.000932815
36,883.504,0.80195,0.34982,0.00292,0.94309,0.89005,0.96603,0.69992,1.06337,0.41089,0.00361,0.000930839,0.000930839,0.000930839
37,907.319,0.83997,0.38153,0.00307,0.9218,0.8897,0.95373,0.7154,0.99875,0.39632,0.00341,0.000928863,0.000928863,0.000928863
38,931.148,0.7993,0.33874,0.00287,0.93517,0.91277,0.96507,0.7418,0.92579,0.36062,0.00323,0.000926887,0.000926887,0.000926887
39,954.979,0.77795,0.3347,0.00281,0.9493,0.90473,0.95422,0.73599,0.92039,0.38478,0.00318,0.000924911,0.000924911,0.000924911
40,978.942,0.80075,0.34582,0.0029,0.95474,0.8948,0.95852,0.74708,0.87895,0.36828,0.00309,0.000922935,0.000922935,0.000922935
41,1003.09,0.81126,0.3482,0.00299,0.96683,0.92215,0.9673,0.7046,1.05089,0.34314,0.00357,0.000920959,0.000920959,0.000920959
42,1027.07,0.79949,0.34755,0.00289,0.90138,0.90896,0.94296,0.73941,0.87198,0.43323,0.00307,0.000918983,0.000918983,0.000918983
43,1050.94,0.80506,0.35343,0.0029,0.93739,0.90264,0.96478,0.62495,1.35902,0.43757,0.00455,0.000917007,0.000917007,0.000917007
44,1074.92,0.79934,0.349,0.00288,0.94843,0.91136,0.95941,0.75068,0.88812,0.35933,0.00309,0.000915031,0.000915031,0.000915031
45,1098.87,0.80247,0.35091,0.00292,0.93035,0.91438,0.9597,0.73986,0.91138,0.3544,0.00322,0.000913055,0.000913055,0.000913055
46,1122.66,0.82804,0.33796,0.00298,0.91423,0.89477,0.95404,0.75305,0.85327,0.38312,0.003,0.000911079,0.000911079,0.000911079
47,1146.59,0.76501,0.32918,0.00275,0.95154,0.9045,0.97062,0.7503,0.88872,0.33589,0.00307,0.000909103,0.000909103,0.000909103
48,1170.48,0.76262,0.33481,0.00273,0.96761,0.92216,0.96544,0.75042,0.88601,0.3164,0.00308,0.000907127,0.000907127,0.000907127
49,1194.32,0.77437,0.33779,0.00282,0.94584,0.89749,0.95187,0.65152,1.20277,0.42482,0.00424,0.000905151,0.000905151,0.000905151
50,1218.33,0.77678,0.33917,0.00279,0.95644,0.92286,0.96625,0.74803,0.90691,0.3377,0.00315,0.000903175,0.000903175,0.000903175
51,1242.25,0.75967,0.3367,0.00272,0.95749,0.90898,0.96926,0.7465,0.91345,0.31557,0.00317,0.000901199,0.000901199,0.000901199
52,1266.29,0.82306,0.33916,0.003,0.939,0.899,0.95979,0.74153,0.89947,0.35103,0.00316,0.000899223,0.000899223,0.000899223
53,1290.14,0.75577,0.34749,0.00276,0.93966,0.90503,0.96451,0.74858,0.8942,0.34011,0.00311,0.000897247,0.000897247,0.000897247
54,1313.85,0.77865,0.338,0.00286,0.9244,0.89761,0.95837,0.74469,0.89171,0.41133,0.00309,0.000895271,0.000895271,0.000895271
55,1337.76,0.78707,0.34901,0.00287,0.94847,0.90396,0.96631,0.75542,0.88168,0.34498,0.00312,0.000893295,0.000893295,0.000893295
56,1361.8,0.75903,0.33221,0.00274,0.96737,0.91682,0.96192,0.75526,0.8652,0.32318,0.00301,0.000891319,0.000891319,0.000891319
57,1385.73,0.7326,0.29562,0.00263,0.93819,0.91111,0.96369,0.74642,0.87962,0.36357,0.00304,0.000889343,0.000889343,0.000889343
58,1409.61,0.71844,0.30753,0.0026,0.94328,0.90928,0.96533,0.76063,0.84742,0.35706,0.00299,0.000887367,0.000887367,0.000887367
59,1433.63,0.74084,0.33526,0.00268,0.94735,0.90074,0.96397,0.73795,0.90512,0.35235,0.00319,0.000885391,0.000885391,0.000885391
60,1457.59,0.72969,0.32285,0.00267,0.96463,0.90425,0.96275,0.72898,0.95894,0.34183,0.00328,0.000883415,0.000883415,0.000883415
61,1481.74,0.76882,0.34046,0.00277,0.9559,0.91142,0.96127,0.71094,1.02914,0.35623,0.00363,0.000881439,0.000881439,0.000881439
62,1505.69,0.73167,0.32068,0.00263,0.92934,0.90102,0.96243,0.75481,0.87133,0.35979,0.00305,0.000879463,0.000879463,0.000879463
63,1529.6,0.72782,0.31099,0.00265,0.96789,0.91465,0.95954,0.75084,0.88258,0.33937,0.00311,0.000877487,0.000877487,0.000877487
64,1553.65,0.76417,0.33556,0.00276,0.96993,0.92453,0.96718,0.71764,0.99862,0.33553,0.00342,0.000875511,0.000875511,0.000875511
65,1577.54,0.72945,0.30601,0.00263,0.95279,0.91568,0.96428,0.73937,0.93709,0.32946,0.00333,0.000873535,0.000873535,0.000873535
66,1601.37,0.70932,0.30382,0.00259,0.96391,0.93133,0.9692,0.73307,0.96155,0.32288,0.00329,0.000871559,0.000871559,0.000871559
67,1625.2,0.74007,0.31664,0.00265,0.96012,0.92156,0.96331,0.752,0.86764,0.33471,0.00304,0.000869583,0.000869583,0.000869583
68,1649.2,0.7332,0.3212,0.00261,0.94142,0.92215,0.96508,0.76731,0.83985,0.34497,0.00296,0.000867607,0.000867607,0.000867607
69,1673.36,0.74486,0.33133,0.00268,0.94812,0.9053,0.96258,0.73885,0.9255,0.34145,0.00327,0.000865631,0.000865631,0.000865631
70,1697.44,0.71389,0.31154,0.00257,0.94963,0.90647,0.96305,0.7258,0.99615,0.36322,0.00341,0.000863655,0.000863655,0.000863655
71,1721.39,0.72199,0.3274,0.0026,0.95667,0.90931,0.96604,0.74611,0.91046,0.33228,0.00314,0.000861679,0.000861679,0.000861679
72,1745.47,0.74354,0.32667,0.00266,0.93202,0.89289,0.95924,0.73843,0.92495,0.37594,0.00318,0.000859703,0.000859703,0.000859703
73,1769.39,0.73743,0.33027,0.00263,0.91039,0.89328,0.95207,0.67407,1.1141,0.46538,0.00395,0.000857727,0.000857727,0.000857727
74,1793.4,0.70847,0.30179,0.00256,0.95769,0.90349,0.96308,0.74628,0.89766,0.33406,0.0031,0.000855751,0.000855751,0.000855751
75,1817.27,0.72319,0.32094,0.0026,0.96769,0.93147,0.96805,0.77098,0.83147,0.30095,0.00291,0.000853775,0.000853775,0.000853775
76,1841.43,0.75174,0.31619,0.0027,0.94843,0.91537,0.96177,0.74133,0.90142,0.35779,0.00312,0.000851799,0.000851799,0.000851799
77,1865.42,0.70124,0.31259,0.00253,0.92089,0.907,0.94885,0.75069,0.85215,0.3897,0.00303,0.000849822,0.000849822,0.000849822
78,1889.13,0.69976,0.31347,0.00253,0.91461,0.91872,0.95815,0.74414,0.89459,0.41156,0.00312,0.000847846,0.000847846,0.000847846
79,1913.04,0.71828,0.31494,0.00259,0.96857,0.92176,0.96657,0.73468,0.96362,0.33532,0.00329,0.00084587,0.00084587,0.00084587
80,1936.91,0.72067,0.31244,0.00255,0.93309,0.91836,0.96379,0.74296,0.91605,0.37965,0.00323,0.000843894,0.000843894,0.000843894
81,1960.91,0.6853,0.30028,0.00246,0.94754,0.91142,0.95988,0.7631,0.84851,0.35934,0.00302,0.000841918,0.000841918,0.000841918
82,1984.72,0.71749,0.31666,0.00258,0.94799,0.92246,0.96716,0.74232,0.92519,0.33813,0.00322,0.000839942,0.000839942,0.000839942
83,2008.54,0.69198,0.29052,0.00246,0.9462,0.92025,0.96465,0.74456,0.91997,0.34083,0.00319,0.000837966,0.000837966,0.000837966
