epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9673,2.41488,3.68402,1.48749,0.23488,0.59907,0.23872,0.11397,1.46198,3.32176,1.03899,0.000328283,0.000328283,0.000328283
2,43.929,1.56283,1.93438,1.07531,0.55381,0.42772,0.47979,0.20982,1.77958,2.51466,1.18553,0.000655066,0.000655066,0.000655066
3,64.9202,1.40562,1.5257,1.04036,0.72147,0.67666,0.75585,0.45191,1.26713,1.55147,1.02063,0.000975249,0.000975249,0.000975249
4,85.2536,1.37069,1.33502,1.03632,0.84166,0.76364,0.88257,0.54354,1.2317,1.2489,1.02187,0.0009703,0.0009703,0.0009703
5,107.604,1.37557,1.22471,1.02883,0.85086,0.81358,0.8871,0.48799,1.3215,1.13545,1.03979,0.0009604,0.0009604,0.0009604
6,127.171,1.26429,1.08859,1.00507,0.85943,0.83348,0.89815,0.44652,1.61122,1.10448,1.15612,0.0009505,0.0009505,0.0009505
7,146.744,1.23414,1.0162,0.98725,0.89903,0.86578,0.92964,0.51077,1.41952,0.9862,1.06955,0.0009406,0.0009406,0.0009406
8,168.119,1.2069,0.97376,0.98381,0.89932,0.88266,0.95083,0.6716,1.00458,0.84238,0.95179,0.0009307,0.0009307,0.0009307
9,187.887,1.24447,0.97525,0.9842,0.87095,0.79868,0.88729,0.40271,1.70332,1.06304,1.16483,0.0009208,0.0009208,0.0009208
10,207.156,1.22028,0.94433,0.98032,0.91342,0.88465,0.94913,0.57217,1.27596,0.83474,1.03296,0.0009109,0.0009109,0.0009109
11,228.566,1.1888,0.8931,0.96904,0.90313,0.86459,0.93733,0.60642,1.13064,0.86673,0.98683,0.000901,0.000901,0.000901
12,247.77,1.25644,0.89998,0.99436,0.81343,0.76079,0.77661,0.2323,2.39537,1.17578,1.46024,0.0008911,0.0008911,0.0008911
13,267.29,1.17307,0.86606,0.97746,0.90982,0.88298,0.93793,0.5285,1.40461,0.87637,1.06246,0.0008812,0.0008812,0.0008812
14,288.398,1.19441,0.87011,0.97487,0.94793,0.90128,0.96377,0.64385,1.1119,0.72242,0.9775,0.0008713,0.0008713,0.0008713
15,307.852,1.13337,0.799,0.96114,0.90352,0.87405,0.94129,0.6473,1.03138,0.76804,0.96276,0.0008614,0.0008614,0.0008614
16,327.328,1.13663,0.79924,0.95986,0.94047,0.91277,0.96582,0.68646,0.98349,0.64952,0.94632,0.0008515,0.0008515,0.0008515
17,349.071,1.12264,0.78988,0.9588,0.93912,0.92867,0.96356,0.67683,1.01395,0.64482,0.95432,0.0008416,0.0008416,0.0008416
