epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,67.7935,2.31928,6.20096,0.00921,0.48477,0.48919,0.4885,0.34425,1.34126,1.39514,0.0052,0.0066129,0.0022043,0.0066129,0.0022043,0.0066129,0.0022043,0.0066129,0.0022043
2,105.182,1.30126,0.93705,0.00467,0.78742,0.78416,0.83016,0.52357,1.3568,0.70273,0.00516,0.0132802,0.00442672,0.0132802,0.00442672,0.0132802,0.00442672,0.0132802,0.00442672
3,139.976,1.14564,0.64124,0.00404,0.79044,0.82087,0.86513,0.55395,1.35616,0.69229,0.00511,0.019921,0.00664032,0.019921,0.00664032,0.019921,0.00664032,0.019921,0.00664032
4,172.676,1.16183,0.60656,0.00406,0.83424,0.89677,0.90457,0.64492,1.05453,0.51132,0.00406,0.0265353,0.0088451,0.0265353,0.0088451,0.0265353,0.0088451,0.0265353,0.0088451
5,204.16,1.15923,0.55324,0.00413,0.8541,0.85623,0.87662,0.40059,2.05542,0.65295,0.00777,0.0297629,0.00992096,0.0297629,0.00992096,0.0297629,0.00992096,0.0297629,0.00992096
6,235.798,1.11359,0.50979,0.00393,0.89058,0.84077,0.89395,0.52534,1.54776,0.54271,0.00582,0.0297036,0.0099012,0.0297036,0.0099012,0.0297036,0.0099012,0.0297036,0.0099012
7,267.511,1.07691,0.49086,0.00375,0.90297,0.86809,0.92037,0.53524,1.64489,0.54513,0.00678,0.0296443,0.00988144,0.0296443,0.00988144,0.0296443,0.00988144,0.0296443,0.00988144
8,298.798,1.04719,0.47391,0.00364,0.92249,0.89688,0.93005,0.69528,0.96841,0.4241,0.0037,0.029585,0.00986168,0.029585,0.00986168,0.029585,0.00986168,0.029585,0.00986168
9,330.638,1.05057,0.44811,0.00365,0.91457,0.8876,0.92648,0.72829,0.82916,0.40149,0.00327,0.0295258,0.00984192,0.0295258,0.00984192,0.0295258,0.00984192,0.0295258,0.00984192
10,362.378,1.01488,0.46563,0.00358,0.92888,0.87113,0.91849,0.51872,1.6166,0.52087,0.00604,0.0294665,0.00982216,0.0294665,0.00982216,0.0294665,0.00982216,0.0294665,0.00982216
11,393.847,1.00491,0.41637,0.00352,0.90581,0.85714,0.90796,0.48996,1.73122,0.52164,0.00651,0.0294072,0.0098024,0.0294072,0.0098024,0.0294072,0.0098024,0.0294072,0.0098024
12,425.108,0.96461,0.40557,0.00334,0.91834,0.90759,0.92768,0.71191,0.94563,0.3876,0.00373,0.0293479,0.00978264,0.0293479,0.00978264,0.0293479,0.00978264,0.0293479,0.00978264
13,456.795,0.96616,0.4177,0.00336,0.9256,0.88441,0.93259,0.71908,0.92024,0.39122,0.00365,0.0292886,0.00976288,0.0292886,0.00976288,0.0292886,0.00976288,0.0292886,0.00976288
14,488.321,0.98008,0.42267,0.00339,0.94253,0.88215,0.92483,0.67923,1.03161,0.40052,0.00394,0.0292294,0.00974312,0.0292294,0.00974312,0.0292294,0.00974312,0.0292294,0.00974312
15,520.092,0.93916,0.39232,0.00321,0.93503,0.90225,0.94585,0.74036,0.88322,0.34556,0.00349,0.0291701,0.00972336,0.0291701,0.00972336,0.0291701,0.00972336,0.0291701,0.00972336
16,551.69,0.92126,0.38544,0.00318,0.94198,0.89391,0.94231,0.74577,0.82469,0.35316,0.00319,0.0291108,0.0097036,0.0291108,0.0097036,0.0291108,0.0097036,0.0291108,0.0097036
17,583.437,0.9546,0.37781,0.00329,0.90467,0.92903,0.93871,0.74316,0.79132,0.33366,0.00309,0.0290515,0.00968384,0.0290515,0.00968384,0.0290515,0.00968384,0.0290515,0.00968384
18,615.102,0.90777,0.37111,0.00317,0.91757,0.9215,0.93388,0.69885,0.9927,0.37128,0.00392,0.0289922,0.00966408,0.0289922,0.00966408,0.0289922,0.00966408,0.0289922,0.00966408
19,646.619,0.92091,0.37924,0.00315,0.92645,0.90723,0.94275,0.75534,0.77406,0.33685,0.00306,0.0289329,0.00964432,0.0289329,0.00964432,0.0289329,0.00964432,0.0289329,0.00964432
20,678.187,0.9107,0.37721,0.00311,0.93975,0.90616,0.94197,0.73503,0.84212,0.35897,0.00323,0.0288737,0.00962456,0.0288737,0.00962456,0.0288737,0.00962456,0.0288737,0.00962456
21,709.683,0.91208,0.37187,0.00314,0.9318,0.90145,0.94384,0.75768,0.77231,0.33277,0.00303,0.0288144,0.0096048,0.0288144,0.0096048,0.0288144,0.0096048,0.0288144,0.0096048
22,741.337,0.901,0.36309,0.00308,0.90135,0.91341,0.9313,0.65325,1.17882,0.42086,0.00472,0.0287551,0.00958504,0.0287551,0.00958504,0.0287551,0.00958504,0.0287551,0.00958504
23,772.764,0.90831,0.37071,0.00312,0.92499,0.90149,0.93972,0.7049,0.94687,0.35385,0.0036,0.0286958,0.00956528,0.0286958,0.00956528,0.0286958,0.00956528,0.0286958,0.00956528
24,803.959,0.89074,0.35483,0.00307,0.91113,0.91237,0.93702,0.76552,0.73815,0.34612,0.00288,0.0286365,0.00954552,0.0286365,0.00954552,0.0286365,0.00954552,0.0286365,0.00954552
25,835.708,0.89366,0.36139,0.00304,0.93795,0.89415,0.94617,0.77804,0.7481,0.31681,0.00294,0.0285773,0.00952576,0.0285773,0.00952576,0.0285773,0.00952576,0.0285773,0.00952576
26,867.414,0.88939,0.3541,0.00303,0.93057,0.92266,0.94954,0.68388,1.07604,0.37635,0.00432,0.028518,0.009506,0.028518,0.009506,0.028518,0.009506,0.028518,0.009506
27,899.045,0.90687,0.36548,0.00315,0.93688,0.90862,0.94107,0.73022,0.86131,0.33412,0.00329,0.0284587,0.00948623,0.0284587,0.00948623,0.0284587,0.00948623,0.0284587,0.00948623
28,930.398,0.86182,0.35007,0.00299,0.92908,0.91373,0.93916,0.76748,0.73894,0.37992,0.00292,0.0283994,0.00946647,0.0283994,0.00946647,0.0283994,0.00946647,0.0283994,0.00946647
29,961.936,0.87562,0.34037,0.003,0.93515,0.9196,0.94509,0.76999,0.75987,0.34547,0.003,0.0283401,0.00944671,0.0283401,0.00944671,0.0283401,0.00944671,0.0283401,0.00944671
30,993.684,0.8814,0.34829,0.00299,0.92631,0.89557,0.92862,0.63501,1.18097,0.4065,0.00443,0.0282809,0.00942695,0.0282809,0.00942695,0.0282809,0.00942695,0.0282809,0.00942695
31,1025.27,0.88368,0.35064,0.003,0.9316,0.89961,0.92548,0.65156,1.09174,0.4534,0.00409,0.0282216,0.00940719,0.0282216,0.00940719,0.0282216,0.00940719,0.0282216,0.00940719
32,1056.77,0.87949,0.34965,0.003,0.92367,0.9071,0.93873,0.76926,0.74533,0.32737,0.00294,0.0281623,0.00938743,0.0281623,0.00938743,0.0281623,0.00938743,0.0281623,0.00938743
33,1088.55,0.86109,0.33713,0.00292,0.90419,0.91643,0.92243,0.55586,1.50772,0.41528,0.00568,0.028103,0.00936767,0.028103,0.00936767,0.028103,0.00936767,0.028103,0.00936767
34,1120.15,0.83919,0.33113,0.00288,0.94345,0.91334,0.94625,0.75683,0.78733,0.32171,0.00311,0.0280437,0.00934791,0.0280437,0.00934791,0.0280437,0.00934791,0.0280437,0.00934791
35,1151.73,0.86311,0.33729,0.00297,0.92539,0.92584,0.95418,0.75945,0.81469,0.32102,0.00324,0.0279845,0.00932815,0.0279845,0.00932815,0.0279845,0.00932815,0.0279845,0.00932815
