epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.614,2.17957,10.1619,0.0089,0.33702,0.36825,0.35978,0.25387,1.20635,4.00537,0.00451,0.000219512,0.000219512,0.000219512
2,63.067,1.33364,2.35421,0.00481,0.75297,0.73671,0.78835,0.36151,1.88564,1.51228,0.00675,0.000441634,0.000441634,0.000441634
3,87.198,1.24147,1.10145,0.00448,0.85625,0.86815,0.91711,0.63443,1.19808,0.65437,0.00442,0.000662875,0.000662875,0.000662875
4,111.099,1.24184,0.85362,0.00449,0.86419,0.8751,0.92927,0.64135,1.16728,0.62106,0.00419,0.000883235,0.000883235,0.000883235
5,135.046,1.2231,0.73144,0.00444,0.92041,0.9178,0.96256,0.7076,1.03281,0.3993,0.00396,0.000992096,0.000992096,0.000992096
6,158.749,1.14711,0.6623,0.00416,0.88633,0.89009,0.96069,0.60813,1.36079,0.48874,0.00531,0.00099012,0.00099012,0.00099012
7,182.24,1.12055,0.5983,0.00402,0.91464,0.91313,0.96763,0.48759,1.89674,0.5256,0.00776,0.000988144,0.000988144,0.000988144
8,205.802,1.09446,0.59288,0.00392,0.9109,0.91472,0.96366,0.7827,0.79599,0.34425,0.00292,0.000986168,0.000986168,0.000986168
9,229.414,1.08365,0.57654,0.00389,0.9539,0.93182,0.97877,0.71464,1.05806,0.32101,0.00404,0.000984192,0.000984192,0.000984192
10,252.865,1.00937,0.50875,0.00363,0.94438,0.93997,0.97735,0.76317,0.87407,0.28707,0.00319,0.000982216,0.000982216,0.000982216
11,276.363,1.02345,0.5091,0.00369,0.94374,0.92617,0.9715,0.72087,1.01893,0.31818,0.00361,0.00098024,0.00098024,0.00098024
12,299.866,0.97669,0.48355,0.00355,0.91801,0.93154,0.96796,0.77985,0.80289,0.31543,0.00301,0.000978264,0.000978264,0.000978264
13,323.197,0.9781,0.47404,0.00349,0.90838,0.90014,0.95682,0.49473,1.83089,0.52448,0.00748,0.000976288,0.000976288,0.000976288
14,346.679,0.97346,0.47708,0.00348,0.96367,0.94774,0.98351,0.58563,1.54569,0.37096,0.00608,0.000974312,0.000974312,0.000974312
15,370.231,0.98451,0.44852,0.00354,0.95237,0.95339,0.98275,0.58495,1.52786,0.35879,0.00603,0.000972336,0.000972336,0.000972336
16,393.842,0.96617,0.45784,0.00343,0.95721,0.94221,0.9799,0.78241,0.81854,0.26646,0.00304,0.00097036,0.00097036,0.00097036
17,417.284,0.95127,0.42233,0.00337,0.95462,0.94445,0.97897,0.74762,0.93268,0.25988,0.00352,0.000968384,0.000968384,0.000968384
18,440.729,0.93708,0.41545,0.00327,0.96256,0.95657,0.9876,0.74797,0.92731,0.25125,0.00346,0.000966408,0.000966408,0.000966408
19,464.305,0.92976,0.43092,0.00333,0.968,0.95549,0.98373,0.74759,0.94873,0.26365,0.00355,0.000964432,0.000964432,0.000964432
20,487.65,0.99511,0.42247,0.00356,0.96593,0.95361,0.98732,0.61466,1.41751,0.32604,0.00558,0.000962456,0.000962456,0.000962456
21,511.077,0.94459,0.42516,0.00334,0.95455,0.96004,0.98463,0.81334,0.73438,0.22922,0.00268,0.00096048,0.00096048,0.00096048
